embedded_machine_dim_0,ranks,duration,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,REALTIME (sec)
0.97617733,0.70460594,-0.12957793,-0.017452326,-0.14011575,-0.13834378,-0.14396656,-0.21534099,-0.23486477,-0.10779401,-0.1916551,0.0,-0.20857863,-0.21942568,-0.18737435,0.20443472,0.63537496,-0.16341367,-0.20793664
0.97617733,-0.90265006,-0.22218628,-0.19366197,-0.20051812,-0.2028135,-0.1931675,-0.1963305,-0.17999236,-0.11442133,-0.205141,0.0,-0.16828874,-0.1769106,-0.16164619,-0.35038006,0.76514494,-0.16725048,-0.19899599
0.97617733,0.70460594,-0.12650335,-0.020171614,-0.14135064,-0.13947858,-0.1451605,-0.2153794,-0.23483422,-0.107890055,-0.1916551,0.0,-0.20857695,-0.21942563,-0.18721488,0.20388171,0.6353739,-0.16317798,-0.20975006
0.97617733,-0.90265006,-0.04932356,0.0028799223,0.023263084,0.011736132,0.03897406,-0.05401679,0.17490625,-0.067293726,-0.089359574,0.0,-0.15911174,-0.01097966,0.11781311,-0.35038006,0.77513963,-0.049540926,-0.032385096
0.97617733,0.70460594,-0.08636689,0.061480027,-0.09934125,-0.0982968,-0.10376103,-0.20480265,-0.21997039,-0.09979,-0.17180999,0.0,-0.20858723,-0.21421856,-0.16045111,0.20386498,0.63568616,-0.14648,-0.18906637
0.97617733,-0.90265006,-0.055491272,0.0029462767,0.023290964,0.011758721,0.03897833,-0.04836357,0.1744174,-0.07856337,-0.092868105,0.0,-0.15907136,-0.010977409,0.117698066,-0.35038006,0.7751386,-0.046662048,-0.036304638
0.97617733,0.70460594,-0.08636689,0.06346402,-0.098369874,-0.09743802,-0.1028506,-0.20476425,-0.21978708,-0.09966193,-0.17191963,0.0,-0.20858578,-0.21421961,-0.16253632,0.20440124,0.63568515,-0.14668146,-0.18946435
0.97617733,-0.90265006,-0.021541055,0.03829993,0.05864077,0.045271162,0.07618857,-0.027225439,0.22623457,-0.07856337,-0.06479988,0.0,-0.15308423,0.014484705,0.16105121,-0.35038006,0.7839384,-0.015156598,-0.001652012
0.97617733,0.70460594,-0.06475211,0.09971803,-0.08079816,-0.079908095,-0.08573794,-0.20149982,-0.21683876,-0.0973888,-0.16610862,0.0,-0.2085847,-0.2134186,-0.15412985,0.20388171,0.63595915,-0.13840216,-0.17945504
0.97617733,-0.90265006,-0.02770877,0.03843264,0.058668654,0.045338932,0.0761971,-0.027471231,0.22623457,-0.079587884,-0.092868105,0.0,-0.15308692,0.014487603,0.16100542,-0.35038006,0.7839384,-0.030483574,-0.0045352
0.97617733,0.70460594,-0.06475211,0.097364515,-0.08187683,-0.08088653,-0.08676666,-0.20149982,-0.21550973,-0.09751686,-0.1657797,0.0,-0.20858593,-0.2134183,-0.15147118,0.20388171,0.63595915,-0.13958564,-0.18128555
0.97617733,-0.90265006,7.3729585e-05,0.076241404,0.096468054,0.081189446,0.11596342,-0.020343257,0.2814736,-0.073440805,-0.07532547,0.0,-0.14676353,0.041336197,0.20574814,-0.35038006,0.7933235,-0.008020228,0.022151804
0.97617733,0.70460594,-0.04006272,0.14838529,-0.05745795,-0.057008065,-0.06306731,-0.19789742,-0.21207257,-0.09447534,-0.15942049,0.0,-0.20858379,-0.21256739,-0.14525416,0.20386498,0.6362564,-0.13283068,-0.17186579
0.97617733,-0.90265006,7.3729585e-05,0.076108694,0.09644814,0.081166856,0.115947776,-0.01641058,0.28098476,-0.053975053,-0.050765768,0.0,-0.14677514,0.04133452,0.20655806,-0.35038006,0.7933246,-0.010818009,0.02176152
0.97617733,0.70460594,-0.04315584,0.14999479,-0.056647643,-0.056354716,-0.062347036,-0.19822003,-0.21251558,-0.094795495,-0.16018799,0.0,-0.20858632,-0.2125683,-0.14223231,0.20441797,0.63625747,-0.13242266,-0.17129967
0.97617733,-0.90265006,0.08649583,0.19079573,0.21097355,0.18975756,0.23646145,0.06199714,0.44767958,-0.060122132,-0.040240183,0.0,-0.12723236,0.12407914,0.34575868,-0.35038006,0.82194215,0.047002804,0.10445881
0.97617733,0.70460594,0.02785623,0.27447325,0.003476278,0.002911867,-0.0039811595,-0.18838833,-0.20228046,-0.087463826,-0.14100072,0.0,-0.20858842,-0.20996399,-0.11218038,0.20441797,0.63713574,-0.11273049,-0.14963396
0.97617733,-0.90265006,0.09268206,0.19070284,0.21095762,0.18972367,0.23645718,0.061013974,0.44719073,-0.051926024,0.008879208,0.0,-0.12722635,0.12408457,0.34521347,-0.35038006,0.82194424,0.05057099,0.11490497
0.97617733,0.70460594,0.021669993,0.2808238,0.0063251737,0.0056442125,-0.0011791008,-0.18722083,-0.2009667,-0.08685552,-0.1406718,0.0,-0.20858695,-0.21016186,-0.116149396,0.20443472,0.6371358,-0.11245679,-0.14955504
0.97617733,-0.90265006,0.15132166,0.26486057,0.28481582,0.2598095,0.31419614,0.10107811,0.5557134,-0.026313197,0.036947433,0.0,-0.11464737,0.17719892,0.43535277,-0.35038006,0.8401503,0.08726653,0.16579849
0.97617733,0.70460594,0.064899564,0.37098292,0.049995255,0.048821338,0.041228138,-0.18112978,-0.19416876,-0.08192505,-0.1290498,0.0,-0.20858645,-0.20828466,-0.09552706,0.20443472,0.637656,-0.09968558,-0.13476542
0.97617733,-0.90265006,0.1605825,0.26446244,0.2847441,0.25967395,0.31415915,0.10156969,0.5552246,-0.053975053,-0.015680488,0.0,-0.11467848,0.1772006,0.43533242,-0.35038006,0.8401513,0.09306483,0.15859601
0.97617733,0.70460594,0.0741604,0.3727384,0.050727144,0.049608815,0.042010553,-0.18016198,-0.19314525,-0.0820211,-0.12784374,0.0,-0.20858738,-0.20828493,-0.09344578,0.20443472,0.637656,-0.098603465,-0.1320743
0.97617733,-0.90265006,0.20071895,0.3311752,0.35138497,0.32283592,0.38430247,0.1396675,0.65250397,-0.050901514,0.02291332,0.0,-0.103335276,0.22519824,0.5164255,-0.35038006,0.85665613,0.123272754,0.21033975
0.97617733,0.70460594,0.08958895,0.42205304,0.07505665,0.07409368,0.06566171,-0.17493889,-0.1871875,-0.077827,-0.11786637,0.0,-0.20858735,-0.20698124,-0.0805675,0.20388171,0.6382235,-0.08449419,-0.11675693
0.97617733,-0.90265006,0.19455123,0.33138755,0.35142878,0.32294887,0.38431668,0.13991328,0.65201515,-0.047827974,0.015896264,0.0,-0.10333604,0.22519822,0.5162921,-0.35038006,0.85665715,0.13551812,0.22089927
0.97617733,0.70460594,0.108110614,0.4532869,0.08934768,0.0873029,0.07943393,-0.17444731,-0.18703473,-0.076418296,-0.11600246,0.0,-0.20858754,-0.20677257,-0.08028553,0.20388171,0.6381707,-0.08496048,-0.116925105
0.97617733,-0.90265006,-0.14193189,-0.16454563,-0.11377467,-0.11088303,-0.11074311,-0.14741784,-0.07489154,-0.093931064,-0.1665472,0.0,0.010387656,-0.04953616,-0.048097983,-0.35038006,0.72113955,-0.08287101,-0.11896754
0.97617733,0.70460594,-0.16662128,-0.09569335,-0.17785093,-0.1712597,-0.1778501,-0.21342842,-0.2247366,-0.10548885,-0.18715979,0.0,-0.20244123,-0.21543941,-0.19213656,0.20443472,0.63399976,-0.16257358,-0.20549992
0.97617733,-0.90265006,-0.13883877,-0.16454563,-0.11377467,-0.11088303,-0.11074169,-0.14446834,-0.07489154,-0.09905363,-0.17707278,0.0,0.01036809,-0.04952633,-0.048101265,-0.35038006,0.72113746,-0.08424963,-0.11898002
0.97617733,0.70460594,-0.16662128,-0.102860875,-0.18105207,-0.17426912,-0.1809866,-0.21341306,-0.22478242,-0.10561692,-0.18759836,0.0,-0.20244218,-0.21543957,-0.19247879,0.20443472,0.63399976,-0.1626686,-0.20536724
0.97617733,-0.90265006,-0.111056276,-0.13330595,-0.075198576,-0.07250242,-0.07140921,-0.12849183,-0.030406997,-0.09700461,-0.17005572,0.0,0.05749733,-0.006650393,-0.0006923475,-0.35038006,0.7256958,-0.055866342,-0.08219143
0.97617733,0.70460594,-0.14193189,-0.05013272,-0.15645297,-0.1490628,-0.15656053,-0.20875837,-0.21864136,-0.10209516,-0.17915596,0.0,-0.20114517,-0.21409291,-0.18086502,0.20441797,0.63414216,-0.15386091,-0.19390328
0.97617733,-0.90265006,-0.10488856,-0.13343866,-0.075226456,-0.072536305,-0.071419165,-0.1297208,-0.03236236,-0.09598009,-0.17005572,0.0,0.057478826,-0.006652156,-0.00042189047,-0.35038006,0.7256958,-0.054001156,-0.08517949
0.97617733,0.70460594,-0.13883877,-0.046399456,-0.15485065,-0.14750797,-0.15495126,-0.20875837,-0.2187483,-0.102351286,-0.17937525,0.0,-0.20114604,-0.21409272,-0.18116564,0.20388171,0.63414115,-0.15349598,-0.19385387
0.97617733,-0.90265006,-0.07093834,-0.096797734,-0.029926924,-0.027491607,-0.025401363,-0.10317524,0.019454792,-0.08675947,-0.15251309,0.0,0.11633811,0.043553602,0.053920995,-0.35038006,0.7311521,-0.022171324,-0.04872935
0.97617733,0.70460594,-0.107981674,0.020319946,-0.123832196,-0.11593298,-0.124187104,-0.2030437,-0.2111407,-0.097580895,-0.16928823,0.0,-0.1995092,-0.21251808,-0.16755857,0.20441797,0.6343127,-0.14261024,-0.18017134
0.97617733,-0.90265006,-0.067845225,-0.096930444,-0.029950824,-0.027536787,-0.025418432,-0.10342103,0.019943632,-0.07446531,-0.13146192,0.0,0.11628895,0.043543242,0.053742528,-0.35038006,0.7311521,-0.024117608,-0.028806088
0.97617733,0.70460594,-0.11414939,0.009741387,-0.12858388,-0.12033205,-0.12881051,-0.20319732,-0.21127819,-0.09812517,-0.16917859,0.0,-0.1995098,-0.21251726,-0.1685057,0.20388171,0.6343117,-0.14312088,-0.17991039
0.97617733,-0.90265006,-0.03389501,-0.06534573,0.009250619,0.01141987,0.014315166,-0.084249236,0.063450485,-0.085734956,-0.14549603,0.0,0.16607822,0.086928636,0.10056466,-0.35038006,0.7357789,0.0075500333,-0.009677198
0.97617733,0.70460594,-0.09253461,0.052203674,-0.108508304,-0.09938324,-0.10884713,-0.19835061,-0.20498437,-0.09415518,-0.1612844,0.0,-0.19813038,-0.2111571,-0.15706985,0.20443472,0.6344573,-0.13288769,-0.1674412
0.97617733,-0.90265006,-0.03389501,-0.06557133,0.009194856,0.011329509,0.0142881395,-0.08105394,0.062961645,-0.085734956,-0.14900455,0.0,0.16608651,0.08692689,0.100245595,-0.35038006,0.7357789,0.005765941,-0.0106681185
0.97617733,0.70460594,-0.095627725,0.04968801,-0.10966302,-0.10040721,-0.10994478,-0.19838132,-0.20519823,-0.09450735,-0.16117476,0.0,-0.19812949,-0.21115732,-0.15743053,0.20441797,0.63445723,-0.13321587,-0.16660337
0.97617733,-0.90265006,-0.006112507,-0.039109174,0.042055238,0.044017408,0.047552615,-0.06556903,0.10060241,-0.079587884,-0.13146192,0.0,0.20145747,0.12324074,0.13917422,-0.35038006,0.73982245,0.030864878,0.01967974
0.97617733,0.70460594,-0.07093834,0.09535688,-0.08844007,-0.0786374,-0.088835955,-0.1943488,-0.20003484,-0.09053736,-0.15349986,0.0,-0.19717602,-0.21001497,-0.14850856,0.20443472,0.63458365,-0.12487321,-0.15757729
0.97617733,-0.90265006,-0.006112507,-0.03901628,0.04206719,0.04404,0.047563996,-0.06704378,0.10109125,-0.08061239,-0.1419875,0.0,0.20144998,0.12325289,0.13922298,-0.35038006,0.73982245,0.03333828,0.016615517
0.97617733,0.70460594,-0.07093834,0.09939745,-0.08656117,-0.076966435,-0.08705839,-0.19455619,-0.20014179,-0.09098559,-0.15317093,0.0,-0.1971763,-0.21001568,-0.1487755,0.20441797,0.6345836,-0.12579694,-0.15824908
0.97617733,-0.90265006,0.015502279,-0.016906975,0.0697894,0.07165642,0.07565517,-0.046397235,0.1338436,-0.08061239,-0.13847896,0.0,0.23028722,0.15396662,0.17242706,-0.35038006,0.74329126,0.051381942,0.03824904
0.97617733,0.70460594,-0.052416675,0.1296443,-0.07227973,-0.062109552,-0.0728546,-0.19103828,-0.19568111,-0.08791205,-0.14746957,0.0,-0.19639629,-0.20905234,-0.13912003,0.20441797,0.634692,-0.119186416,-0.14720364
0.97617733,-0.90265006,0.018595397,-0.017225476,0.06973762,0.07154347,0.0756253,-0.046643026,0.13286592,-0.062171157,-0.10339369,0.0,0.23022722,0.15396044,0.1724555,-0.35038006,0.74329126,0.05304439,0.037396677
0.97617733,0.70460594,-0.058584392,0.12468679,-0.07454859,-0.06416384,-0.07502693,-0.19116119,-0.19594081,-0.08887253,-0.14812742,0.0,-0.19639584,-0.20905407,-0.14087114,0.20386498,0.634691,-0.11805489,-0.14955632
